,GSWP3-W5E5-1901-1919,GSWP3-W5E5-1920-1939,GSWP3-W5E5-1940-1959,GSWP3-W5E5-1960-1979,GSWP3-W5E5-1980-1999,GSWP3-W5E5-2000-2019,20CRv3-1901-1919,20CRv3-1920-1939,20CRv3-1940-1959,20CRv3-1960-1979,20CRv3-1980-1999,20CRv3-2000-2019,20CRv3-ERA5-1901-1919,20CRv3-ERA5-1920-1939,20CRv3-ERA5-1940-1959,20CRv3-ERA5-1960-1979,20CRv3-ERA5-1980-1999,20CRv3-ERA5-2000-2019,20CRv3-W5E5-1901-1919,20CRv3-W5E5-1920-1939,20CRv3-W5E5-1940-1959,20CRv3-W5E5-1960-1979,20CRv3-W5E5-1980-1999,20CRv3-W5E5-2000-2019
Bombus_pyrenaeus,NA,0.002*,0.034,0.067,0.614,>0.999,NA,0.169,0.186,<0.001*,0.038,<0.001*,NA,<0.001*,0.006*,0.003*,0.966,0.679,NA,0.028,0.453,0.181,0.735,0.999
Bombus_pyrrhopygus,NA,NA,NA,0.002*,NA,0.079,NA,NA,NA,<0.001*,NA,0.026,NA,NA,NA,0.003*,NA,<0.001*,NA,NA,NA,<0.001*,NA,<0.001*
Bombus_quadricolor,0.524,0.890,0.070,>0.999,0.941,0.999,0.013,0.154,0.126,0.984,0.914,0.996,0.406,0.520,0.994,>0.999,0.739,0.903,0.072,0.008,0.012,0.998,0.986,>0.999
Bombus_ruderarius,0.989,>0.999,>0.999,>0.999,>0.999,>0.999,0.267,>0.999,0.032,0.008*,>0.999,>0.999,0.584,>0.999,>0.999,>0.999,>0.999,>0.999,0.197,>0.999,>0.999,0.993,>0.999,>0.999
Bombus_ruderatus,0.949,>0.999,>0.999,>0.999,>0.999,>0.999,0.851,0.669,>0.999,>0.999,0.969,>0.999,0.896,0.887,>0.999,0.999,>0.999,>0.999,0.999,0.962,>0.999,>0.999,>0.999,>0.999
Bombus_rupestris,0.103,0.717,>0.999,>0.999,>0.999,>0.999,0.271,0.322,0.205,0.999,>0.999,>0.999,0.864,0.997,0.891,0.920,0.998,>0.999,0.989,0.199,0.978,0.004*,>0.999,>0.999
Bombus_semenoviellus,NA,NA,NA,NA,>0.999,>0.999,NA,NA,NA,NA,>0.999,>0.999,NA,NA,NA,NA,>0.999,>0.999,NA,NA,NA,NA,>0.999,>0.999
Bombus_sichelii,NA,0.481,0.022,0.002*,>0.999,>0.999,NA,0.925,0.712,0.964,>0.999,>0.999,NA,0.001*,<0.001*,<0.001*,>0.999,>0.999,NA,0.692,0.003*,<0.001*,>0.999,>0.999
Bombus_soroeensis,0.502,0.221,>0.999,0.986,0.001*,>0.999,0.329,0.656,0.128,>0.999,<0.001*,0.643,0.323,0.192,0.999,>0.999,0.010*,>0.999,0.182,0.995,0.991,>0.999,0.994,>0.999
Bombus_sporadicus,NA,NA,0.065,<0.001*,<0.001*,0.609,NA,NA,<0.001*,0.134,0.225,<0.001*,NA,NA,0.038,>0.999,0.005*,<0.001*,NA,NA,0.177,<0.001*,<0.001*,0.495
Bombus_subterraneus,0.133,0.065,0.539,0.993,0.629,>0.999,0.045,0.019,0.663,0.499,0.013*,>0.999,0.196,0.048,0.004*,>0.999,0.103,>0.999,0.856,0.085,0.036,0.998,0.970,>0.999
Bombus_sylvarum,0.985,0.327,0.962,0.994,>0.999,>0.999,0.422,0.379,0.001*,0.538,<0.001*,0.841,0.523,0.995,0.999,>0.999,>0.999,>0.999,0.510,0.647,0.983,0.995,0.899,>0.999
Bombus_sylvestris,0.212,0.682,0.989,<0.001*,>0.999,>0.999,>0.999,0.488,0.050,0.999,>0.999,0.643,<0.001*,0.917,<0.001*,0.001*,>0.999,>0.999,0.992,0.570,>0.999,0.161,>0.999,>0.999
Bombus_terrestris,0.995,0.323,0.969,0.092,<0.001*,>0.999,0.895,0.001*,0.001*,<0.001*,<0.001*,>0.999,0.608,0.009,0.054,<0.001*,<0.001*,>0.999,0.612,<0.001*,0.018,0.001*,0.004*,>0.999
Bombus_vestalis,0.882,0.711,>0.999,0.929,0.538,0.999,0.287,0.141,>0.999,0.835,0.965,>0.999,0.791,0.667,0.993,0.805,0.028,>0.999,0.826,>0.999,0.997,0.995,>0.999,0.737
Bombus_veteranus,0.180,0.999,>0.999,0.931,0.996,>0.999,0.998,0.891,0.561,0.427,0.999,>0.999,0.240,0.997,>0.999,>0.999,>0.999,>0.999,0.263,0.998,>0.999,>0.999,>0.999,>0.999
