,SIppc_GSWP3-W5E5,OptTres_GSWP3-W5E5,SIppc_20CRv3,OptTres_20CRv3,SIppc_20CRv3-ERA5,OptTres_20CRv3-ERA5,SIppc_20CRv3-W5E5,OptTres_20CRv3-W5E5
Bombus_distinguendus,0.88 [0.86-0.91],0.40 [0.34-0.50],0.87 [0.87-0.89],0.42 [0.35-0.51],0.88 [0.87-0.91],0.44 [0.34-0.56],0.87 [0.85-0.91],0.45 [0.36-0.55]
Bombus_flavidus,0.94 [0.91-0.95],0.58 [0.52-0.67],0.94 [0.92-0.96],0.60 [0.54-0.66],0.94 [0.92-0.96],0.59 [0.53-0.66],0.93 [0.92-0.96],0.61 [0.55-0.65]
Bombus_gerstaeckeri,1.00 [0.99-1.00],0.31 [0.23-0.45],1.00 [0.99-1.00],0.37 [0.24-0.50],1.00 [0.99-1.00],0.31 [0.14-0.50],1.00 [0.99-1.00],0.35 [0.29-0.52]
Bombus_hortorum,0.77 [0.76-0.78],0.38 [0.36-0.48],0.77 [0.76-0.78],0.38 [0.36-0.44],0.77 [0.76-0.78],0.38 [0.35-0.48],0.77 [0.76-0.78],0.37 [0.35-0.49]
Bombus_humilis,0.89 [0.87-0.92],0.52 [0.51-0.56],0.90 [0.88-0.91],0.54 [0.49-0.56],0.90 [0.88-0.91],0.53 [0.49-0.54],0.90 [0.89-0.91],0.54 [0.49-0.55]
Bombus_hyperboreus,1.00 [1.00-1.00],0.36 [0.13-0.64],1.00 [1.00-1.00],0.34 [0.11-0.56],1.00 [1.00-1.00],0.36 [0.11-0.60],1.00 [1.00-1.00],0.38 [0.13-0.63]
Bombus_hypnorum,0.80 [0.79-0.81],0.44 [0.40-0.49],0.80 [0.79-0.80],0.44 [0.41-0.51],0.80 [0.79-0.80],0.44 [0.41-0.48],0.80 [0.79-0.80],0.42 [0.40-0.49]
Bombus_jonellus,0.86 [0.85-0.87],0.54 [0.50-0.60],0.86 [0.85-0.87],0.53 [0.51-0.59],0.86 [0.85-0.87],0.53 [0.50-0.59],0.86 [0.85-0.87],0.55 [0.50-0.58]
Bombus_lapidarius,0.80 [0.79-0.80],0.43 [0.40-0.45],0.80 [0.79-0.80],0.42 [0.38-0.44],0.79 [0.79-0.80],0.43 [0.40-0.45],0.80 [0.79-0.80],0.42 [0.40-0.45]
Bombus_lapponicus,0.99 [0.98-1.00],0.56 [0.49-0.78],0.99 [0.97-1.00],0.57 [0.42-0.68],0.99 [0.98-1.00],0.55 [0.49-0.68],0.99 [0.98-1.00],0.56 [0.42-0.68]
Bombus_lucorum,0.77 [0.76-0.78],0.43 [0.40-0.46],0.77 [0.76-0.78],0.42 [0.40-0.44],0.77 [0.76-0.78],0.43 [0.39-0.47],0.77 [0.76-0.78],0.42 [0.41-0.46]
Bombus_mastrucatus,0.93 [0.91-0.94],0.50 [0.46-0.57],0.93 [0.91-0.95],0.52 [0.43-0.57],0.93 [0.91-0.95],0.50 [0.37-0.56],0.93 [0.91-0.94],0.50 [0.43-0.56]
Bombus_mendax,1.00 [1.00-1.00],0.22 [0.01-0.44],1.00 [1.00-1.00],0.15 [0.01-0.55],1.00 [1.00-1.00],0.18 [0.01-0.55],1.00 [1.00-1.00],0.21 [0.08-0.49]
Bombus_mesomelas,1.00 [0.99-1.00],0.47 [0.24-0.58],1.00 [0.99-1.00],0.45 [0.33-0.54],1.00 [0.99-1.00],0.48 [0.31-0.61],1.00 [0.99-1.00],0.44 [0.17-0.54]
Bombus_monticola,0.94 [0.93-0.95],0.58 [0.39-0.64],0.94 [0.93-0.95],0.60 [0.33-0.67],0.94 [0.93-0.96],0.62 [0.52-0.68],0.94 [0.93-0.96],0.60 [0.54-0.67]
Bombus_mucidus,1.00 [0.98-1.00],0.32 [0.11-0.58],1.00 [0.99-1.00],0.42 [0.19-0.59],1.00 [0.99-1.00],0.40 [0.23-0.61],1.00 [0.98-1.00],0.40 [0.26-0.59]
Bombus_muscorum,0.90 [0.88-0.91],0.47 [0.44-0.53],0.90 [0.89-0.91],0.49 [0.42-0.53],0.89 [0.88-0.92],0.50 [0.44-0.54],0.90 [0.88-0.91],0.46 [0.44-0.54]
Bombus_norvegicus,0.86 [0.85-0.87],0.52 [0.47-0.57],0.86 [0.85-0.87],0.50 [0.45-0.55],0.86 [0.85-0.87],0.50 [0.45-0.55],0.86 [0.84-0.88],0.50 [0.45-0.54]
Bombus_pascuorum,0.73 [0.73-0.74],0.38 [0.35-0.39],0.73 [0.73-0.74],0.38 [0.35-0.40],0.73 [0.73-0.74],0.38 [0.33-0.42],0.73 [0.73-0.74],0.37 [0.34-0.39]
Bombus_pomorum,0.98 [0.94-1.00],0.52 [0.44-0.58],0.99 [0.95-1.00],0.53 [0.47-0.61],0.99 [0.96-0.99],0.54 [0.51-0.62],0.99 [0.95-1.00],0.52 [0.38-0.58]
Bombus_pratorum,0.76 [0.75-0.76],0.43 [0.39-0.46],0.76 [0.75-0.76],0.44 [0.40-0.47],0.76 [0.75-0.76],0.43 [0.40-0.48],0.76 [0.75-0.76],0.44 [0.39-0.47]
Bombus_pyrenaeus,1.00 [0.99-1.00],0.32 [0.19-0.52],1.00 [1.00-1.00],0.32 [0.15-0.61],1.00 [0.99-1.00],0.28 [0.16-0.54],1.00 [0.99-1.00],0.32 [0.16-0.54]
Bombus_pyrrhopygus,1.00 [0.99-1.00],0.52 [0.36-0.67],1.00 [0.98-1.00],0.52 [0.35-0.74],1.00 [0.98-1.00],0.56 [0.37-0.73],1.00 [0.98-1.00],0.51 [0.36-0.68]
Bombus_quadricolor,0.95 [0.92-0.98],0.49 [0.44-0.58],0.95 [0.92-0.98],0.51 [0.45-0.57],0.95 [0.93-0.98],0.50 [0.44-0.56],0.95 [0.93-0.98],0.50 [0.41-0.60]
Bombus_ruderarius,0.86 [0.84-0.87],0.53 [0.48-0.59],0.86 [0.85-0.88],0.53 [0.51-0.59],0.86 [0.85-0.87],0.52 [0.50-0.57],0.86 [0.84-0.87],0.56 [0.49-0.63]
Bombus_ruderatus,0.91 [0.88-0.95],0.58 [0.48-0.64],0.91 [0.89-0.96],0.58 [0.48-0.61],0.91 [0.89-0.96],0.57 [0.53-0.63],0.91 [0.88-0.95],0.57 [0.45-0.64]
Bombus_rupestris,0.89 [0.88-0.91],0.55 [0.49-0.60],0.89 [0.88-0.91],0.52 [0.46-0.60],0.89 [0.88-0.92],0.54 [0.49-0.59],0.89 [0.88-0.92],0.53 [0.47-0.61]
Bombus_semenoviellus,0.99 [0.97-1.00],0.59 [0.44-0.66],0.99 [0.97-1.00],0.62 [0.48-0.70],0.99 [0.97-1.00],0.60 [0.52-0.67],0.99 [0.96-1.00],0.62 [0.54-0.70]
Bombus_sichelii,1.00 [0.99-1.00],0.32 [0.14-0.61],1.00 [1.00-1.00],0.34 [0.20-0.61],1.00 [1.00-1.00],0.33 [0.10-0.63],1.00 [1.00-1.00],0.30 [0.13-0.62]
Bombus_soroeensis,0.85 [0.83-0.86],0.48 [0.44-0.54],0.85 [0.84-0.85],0.48 [0.42-0.53],0.85 [0.84-0.86],0.46 [0.44-0.52],0.85 [0.84-0.86],0.47 [0.43-0.51]
Bombus_sporadicus,0.95 [0.94-0.97],0.58 [0.44-0.63],0.95 [0.95-0.97],0.58 [0.43-0.63],0.95 [0.94-0.97],0.55 [0.42-0.66],0.95 [0.94-0.97],0.60 [0.47-0.68]
Bombus_subterraneus,0.91 [0.87-0.94],0.55 [0.47-0.61],0.92 [0.88-0.94],0.55 [0.47-0.63],0.92 [0.88-0.94],0.58 [0.49-0.62],0.92 [0.89-0.94],0.56 [0.38-0.65]
Bombus_sylvarum,0.89 [0.87-0.91],0.50 [0.41-0.53],0.89 [0.86-0.90],0.52 [0.45-0.57],0.88 [0.86-0.90],0.50 [0.45-0.55],0.89 [0.87-0.90],0.50 [0.45-0.54]
Bombus_sylvestris,0.85 [0.85-0.86],0.48 [0.45-0.50],0.85 [0.84-0.86],0.48 [0.45-0.50],0.86 [0.85-0.86],0.47 [0.44-0.51],0.86 [0.85-0.87],0.48 [0.42-0.50]
Bombus_terrestris,0.81 [0.81-0.82],0.46 [0.44-0.47],0.81 [0.81-0.82],0.46 [0.42-0.48],0.81 [0.81-0.82],0.45 [0.44-0.48],0.81 [0.81-0.82],0.48 [0.43-0.49]
Bombus_vestalis,0.92 [0.90-0.94],0.54 [0.45-0.57],0.92 [0.90-0.94],0.51 [0.48-0.56],0.92 [0.90-0.94],0.50 [0.45-0.54],0.92 [0.90-0.94],0.52 [0.45-0.58]
Bombus_veteranus,0.93 [0.91-0.96],0.55 [0.45-0.59],0.93 [0.90-0.96],0.54 [0.44-0.57],0.93 [0.91-0.96],0.53 [0.43-0.56],0.94 [0.91-0.96],0.54 [0.47-0.56]
